callsign,landingTime,ifdelayed,eventTime1,eventTime2,utcTime,localTime,aircraftModel,aircraftModel2,fleetID,owner,airlineName,airportOriginName,airportOriginCode1,airportOriginCode2,airportOriginLat,airportOriginLng,airportOriginCountry,airportOriginOffset,airportDestName,airportDestCode1,airportDestCode2,airportDestLat,airportDestLng,airportDestCountry,airportDestOffset,timeScheduleDeparture,timeScheduleArrival,timeRealDeparture,timeRealArrival,duration,id,airportOriginCity,airportDestCity,realDepartTime,realDepartTime_local,realArriveTime,realArriveTime_local,from_to,from_to_2,route,flightTime
CAL501,Landed 10:44,green,1546742658,1546771458,2019/1/6 2:44,2019/1/6 10:44,B77W,Boeing 777-309(ER),B-18007,China Airlines,China Airlines (Boeing Livery),Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,1546735800,1546743000,1546737872,1546742658,4800,6,Taipei,Shanghai,2019/1/6 1:24,2019/1/6 9:24,2019/1/6 2:44,2019/1/6 10:44,Taiwan_China,Taipei_Shanghai,Taiwan_China,1.3
CAL502,Landed 14:30,green,1546756222,1546785022,2019/1/6 6:30,2019/1/6 14:30,B77W,Boeing 777-309(ER),B-18007,China Airlines,China Airlines (Boeing Livery),Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546747500,1546755300,1546751096,1546756222,5100,6,Shanghai,Taipei,2019/1/6 5:04,2019/1/6 13:04,2019/1/6 6:30,2019/1/6 14:30,China_Taiwan,Shanghai_Taipei,Taiwan_China,1.4
CAL501,Landed 10:27,green,1546396078,1546424878,2019/1/2 2:27,2019/1/2 10:27,B77W,Boeing 777-36N(ER),B-18051,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,1546390200,1546397400,1546391127,1546396078,4980,7,Taipei,Shanghai,2019/1/2 1:05,2019/1/2 9:05,2019/1/2 2:27,2019/1/2 10:27,Taiwan_China,Taipei_Shanghai,Taiwan_China,1.4
CAL502,Landed 14:03,green,1546409029,1546437829,2019/1/2 6:03,2019/1/2 14:03,B77W,Boeing 777-36N(ER),B-18051,China Airlines,China Airlines,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546401900,1546409700,1546403568,1546409029,5460,7,Shanghai,Taipei,2019/1/2 4:32,2019/1/2 12:32,2019/1/2 6:03,2019/1/2 14:03,China_Taiwan,Shanghai_Taipei,Taiwan_China,1.5
CAL503,Landed 18:27,green,1546338440,1546367240,2019/1/1 10:27,2019/1/1 18:27,B77W,Boeing 777-36N(ER),B-18052,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,1546332300,1546338900,1546333307,1546338440,5160,8,Taipei,Shanghai,2019/1/1 9:01,2019/1/1 17:01,2019/1/1 10:27,2019/1/1 18:27,Taiwan_China,Taipei_Shanghai,Taiwan_China,1.4
CAL504,Landed 21:58,green,1546351120,1546379920,2019/1/1 13:58,2019/1/1 21:58,B77W,Boeing 777-36N(ER),B-18052,China Airlines,China Airlines,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546343400,1546351200,1546345263,1546351120,5880,8,Shanghai,Taipei,2019/1/1 12:21,2019/1/1 20:21,2019/1/1 13:58,2019/1/1 21:58,China_Taiwan,Shanghai_Taipei,Taiwan_China,1.6
CAL501,Landed 10:18,green,1546481882,1546510682,2019/1/3 2:18,2019/1/3 10:18,B77W,Boeing 777-36N(ER),B-18052,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,1546476600,1546483800,1546477302,1546481882,4560,8,Taipei,Shanghai,2019/1/3 1:01,2019/1/3 9:01,2019/1/3 2:18,2019/1/3 10:18,Taiwan_China,Taipei_Shanghai,Taiwan_China,1.3
CAL502,Landed 13:56,green,1546494988,1546523788,2019/1/3 5:56,2019/1/3 13:56,B77W,Boeing 777-36N(ER),B-18052,China Airlines,China Airlines,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546488300,1546496100,1546489680,1546494988,5280,8,Shanghai,Taipei,2019/1/3 4:28,2019/1/3 12:28,2019/1/3 5:56,2019/1/3 13:56,China_Taiwan,Shanghai_Taipei,Taiwan_China,1.5
CAL517,Landed 18:44,green,1546512259,1546541059,2019/1/3 10:44,2019/1/3 18:44,B77W,Boeing 777-36N(ER),B-18052,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Beijing Capital International Airport,PEK,ZBAA,40.084152,116.592735,China,28800,1546500900,1546512900,1546502199,1546512259,10080,8,Taipei,Beijing,2019/1/3 7:56,2019/1/3 15:56,2019/1/3 10:44,2019/1/3 18:44,Taiwan_China,Taipei_Beijing,Taiwan_China,2.8
CAL518,Landed 23:24,green,1546529077,1546557877,2019/1/3 15:24,2019/1/3 23:24,B77W,Boeing 777-36N(ER),B-18052,China Airlines,China Airlines,Beijing Capital International Airport,PEK,ZBAA,40.084152,116.592735,China,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546518300,1546530000,1546519281,1546529077,9780,8,Beijing,Taipei,2019/1/3 12:41,2019/1/3 20:41,2019/1/3 15:24,2019/1/3 23:24,China_Taiwan,Beijing_Taipei,Taiwan_China,2.7
CAL501,Landed 10:23,green,1546827780,1546856580,2019/1/7 2:23,2019/1/7 10:23,B77W,Boeing 777-36N(ER),B-18053,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,1546822200,1546829400,1546823136,1546827780,4620,9,Taipei,Shanghai,2019/1/7 1:05,2019/1/7 9:05,2019/1/7 2:23,2019/1/7 10:23,Taiwan_China,Taipei_Shanghai,Taiwan_China,1.3
CAL502,Landed 13:34,green,1546839259,1546868059,2019/1/7 5:34,2019/1/7 13:34,B77W,Boeing 777-36N(ER),B-18053,China Airlines,China Airlines,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546833900,1546841700,1546834191,1546839259,5040,9,Shanghai,Taipei,2019/1/7 4:09,2019/1/7 12:09,2019/1/7 5:34,2019/1/7 13:34,China_Taiwan,Shanghai_Taipei,Taiwan_China,1.4
CAL503,Landed 18:22,green,1546856543,1546885343,2019/1/7 10:22,2019/1/7 18:22,B77W,Boeing 777-36N(ER),B-18053,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,1546850700,1546857300,1546851894,1546856543,4620,9,Taipei,Shanghai,2019/1/7 9:04,2019/1/7 17:04,2019/1/7 10:22,2019/1/7 18:22,Taiwan_China,Taipei_Shanghai,Taiwan_China,1.3
CAL504,Landed 21:50,green,1546869000,1546897800,2019/1/7 13:50,2019/1/7 21:50,B77W,Boeing 777-36N(ER),B-18053,China Airlines,China Airlines,Shanghai Pudong International Airport,PVG,ZSPD,31.14337,121.805199,China,28800,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,1546861800,1546869600,1546863830,1546869000,5160,9,Shanghai,Taipei,2019/1/7 12:23,2019/1/7 20:23,2019/1/7 13:50,2019/1/7 21:50,China_Taiwan,Shanghai_Taipei,Taiwan_China,1.4
CAL521,Landed 16:09,green,1546502980,1546531780,2019/1/3 8:09,2019/1/3 16:09,B744,Boeing 747-409,B-18210,China Airlines,China Airlines,Taiwan Taoyuan International Airport,TPE,RCTP,25.07773,121.232803,Taiwan,28800,Guangzhou Baiyun International Airport,CAN,ZGGG,23.392429,113.298698,China,28800,1546495500,1546503300,1546497403,1546502980,5580,11,Taipei,Guangzhou,2019/1/3 6:36,2019/1/3 14:36,2019/1/3 8:09,2019/1/3 16:09,Taiwan_China,Taipei_Guangzhou,Taiwan_China,1.6
